model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,Europe without Switzerland,Share|Biomass|Residues,share,0.05,0.05
image,SSP2-Base,Business As Usual,Europe without Switzerland,Share|Biomass|Wood,share,0.95,0.95
image,SSP2-Base,Business As Usual,RER,Share|H2|WoodCCS,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|WoodNoCCS,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|SteamReforming,share,0.4,0.4
image,SSP2-Base,Business As Usual,RER,Share|H2|AutothermalReforming,share,0.4,0.4
image,SSP2-Base,Business As Usual,RER,Share|H2|CoalCCS,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|CoalNoCCS,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|Electrolysis,share,0.2,0.2
image,SSP2-Base,Business As Usual,RER,Share|Methanol|H2,share,0.2,0.2
image,SSP2-Base,Business As Usual,RER,Share|Methanol|Biomass,share,0.1,0.1
image,SSP2-Base,Business As Usual,RER,Share|Methanol|NatGas,share,0.7,0.7
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|H2,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Methanol,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Biomass,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Oil,share,1.0,1.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|H2,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Methanol,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Biomass,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Oil,share,1.0,1.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|H2,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Methanol,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Oil,share,1.0,1.0
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Biowaste,share,0.25,0.25
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Sewage,share,0.25,0.25
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Manure,share,0.25,0.25
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Grass,share,0.25,0.25
image,SSP2-Base,Business As Usual,RER,Share|CO2|DACSolvent,share,1.0,1.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|DACSorbent,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementDirect,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementOxyfuel,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementMonoethanolamine,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|H2,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|Oil,share,1.0,1.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Coal,share,0.0424827994388992,0.0071833708427015
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CombinedCycle,share,0.1832790997929411,0.0065765688625323
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|GasTurbine,share,0.1761284841198548,0.0410842515027693
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CogenerationGas,share,0.0965732200801949,0.0020019464439782
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Nuclear,share,0.0515681188180629,0.000644593185747
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Oil,share,0.0730196688155406,0.0082403511797208
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Geothermal,share,0.0291183506213468,0.0163162807091869
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroRunofRiver,share,0.0004975482726945,0.0096184652132734
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroReservoir,share,0.0090008934053681,0.2325756361113101
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biomass,share,0.0085258259401933,0.0130562601271639
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biogas,share,0.0619612381208116,0.0020587925176698
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOnshore,share,0.0273395355860439,0.2213558327245332
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOffshore,share,0.0429140721365099,0.0090566266681914
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarThermal,share,0.0181961888218005,0.3433909954362366
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarPVOpen,share,0.044889711675513,0.0264582281005254
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Hydrogen,share,0.0437143879003213,0.0253614196480973
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|BatteryHydro,share,0.0205932099467757,0.0306915925861427
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBG,share,0.0365246487448866,0.0020330784820087
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGR,share,0.0,0.0
