model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Coal,share,0.03,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CombinedCycle,share,0.16,0.05
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|GasTurbine,share,0.05,0.01
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CogenerationGas,share,0.03,0.01
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Nuclear,share,0.19,0.05
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Oil,share,0.01,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Geothermal,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroRunofRiver,share,0.07,0.06
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroReservoir,share,0.09,0.08
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biomass,share,0.03,0.02
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biogas,share,0.01,0.02
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOnshore,share,0.13,0.22
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOffshore,share,0.01,0.08
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarThermal,share,0.02,0.03
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarPVOpen,share,0.08,0.30
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Hydrogen,share,0,0.03
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|BatteryHydro,share,0.02,0.01
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFR,share,0.04,0.015
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMA,share,0.02,0.005
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPT,share,0.01,0.01
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|TransformationHVMV,share,0.80,0.70
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|SolarPVRoofCommercial,share,0.15,0.25
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|Waste,share,0.05,0.05
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|TransformationMVLV,share,0.75,0.55
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|BatteryChemical,share,0.05,0.15
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|SolarPVRoofResidential,share,0.20,0.30
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|Coal,share,0.01,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|CombinedCycle,share,0.03,0.02
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|GasTurbine,share,0.01,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|CogenerationGas,share,0.01,0.01
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|Nuclear,share,0.67,0.44
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|Oil,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|Geothermal,share,0,0.01
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|HydroRunofRiver,share,0.03,0.03
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|HydroReservoir,share,0.06,0.06
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|Biomass,share,0.02,0.03
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|Biogas,share,0.01,0.02
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|WindOnshore,share,0.06,0.14
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|WindOffshore,share,0.01,0.12
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|SolarThermal,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|SolarPVOpen,share,0.03,0.09
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|Hydrogen,share,0,0.03
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|BatteryHydro,share,0,0.01
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsDE,share,0.02,0.015
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsBE,share,0.01,0.005
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsGB,share,0.01,0.005
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsES,share,0.01,0.005
image,SSP2-Base,Business As Usual,FR,Share|ElectricityMV|TransformationHVMV,share,0.85,0.70
image,SSP2-Base,Business As Usual,FR,Share|ElectricityMV|SolarPVRoofCommercial,share,0.10,0.20
image,SSP2-Base,Business As Usual,FR,Share|ElectricityMV|Waste,share,0.05,0.10
image,SSP2-Base,Business As Usual,FR,Share|ElectricityLV|TransformationMVLV,share,0.80,0.55
image,SSP2-Base,Business As Usual,FR,Share|ElectricityLV|BatteryChemical,share,0.05,0.20
image,SSP2-Base,Business As Usual,FR,Share|ElectricityLV|SolarPVRoofResidential,share,0.15,0.25
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|Coal,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|CombinedCycle,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|GasTurbine,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|CogenerationGas,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|Nuclear,share,0.27,0.05
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|Oil,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|Geothermal,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|HydroRunofRiver,share,0.25,0.25
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|HydroReservoir,share,0.35,0.35
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|Biomass,share,0.01,0.03
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|Biogas,share,0,0.02
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|WindOnshore,share,0.01,0.05
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|WindOffshore,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|SolarThermal,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|SolarPVOpen,share,0.03,0.20
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|Hydrogen,share,0,0.02
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|BatteryHydro,share,0.01,0.01
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsFR,share,0.03,0.01
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsDE,share,0.02,0.005
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsIT,share,0.015,0.005
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsAT,share,0.005,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityMV|TransformationHVMV,share,0.80,0.65
image,SSP2-Base,Business As Usual,CH,Share|ElectricityMV|SolarPVRoofCommercial,share,0.15,0.25
image,SSP2-Base,Business As Usual,CH,Share|ElectricityMV|Waste,share,0.05,0.10
image,SSP2-Base,Business As Usual,CH,Share|ElectricityLV|TransformationMVLV,share,0.75,0.50
image,SSP2-Base,Business As Usual,CH,Share|ElectricityLV|BatteryChemical,share,0.05,0.20
image,SSP2-Base,Business As Usual,CH,Share|ElectricityLV|SolarPVRoofResidential,share,0.20,0.30
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNL,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHU,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGB,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMT,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRU,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIE,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRO,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsME,share,0,0
