model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,RER,Share|Biomass|Residues,share,0.4048985710473579,0.5360434144463667
image,SSP2-Base,Business As Usual,RER,Share|Biomass|Wood,share,0.5951014289526421,0.4639565855536332
image,SSP2-Base,Business As Usual,RER,Share|H2|Wood|CCS,share,0.1811747197584049,0.0850420884345749
image,SSP2-Base,Business As Usual,RER,Share|H2|Wood|NoCCS,share,0.0885063588792601,0.223990928116371
image,SSP2-Base,Business As Usual,RER,Share|H2|SteamReforming,share,0.1287709326318874,0.2016971736289678
image,SSP2-Base,Business As Usual,RER,Share|H2|AutothermalReforming,share,0.1179255267428446,0.0768301851547795
image,SSP2-Base,Business As Usual,RER,Share|H2|Coal|CCS,share,0.1810402304747003,0.2405296740767813
image,SSP2-Base,Business As Usual,RER,Share|H2|Coal|NoCCS,share,0.0682025872885808,0.1209860027962201
image,SSP2-Base,Business As Usual,RER,Share|H2|Electrolysis,share,0.2343796442243217,0.0509239477923051
image,SSP2-Base,Business As Usual,RER,Share|Methanol|H2,share,0.7416727190313618,0.2177599936940501
image,SSP2-Base,Business As Usual,RER,Share|Methanol|Biomass,share,0.0828340115605633,0.4213889236608883
image,SSP2-Base,Business As Usual,RER,Share|Methanol|NatGas,share,0.1754932694080748,0.3608510826450615
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|H2,share,0.4209023522056301,0.0131950944239335
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Methanol,share,0.0411855141356926,0.1957226841649794
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Biomass,share,0.1888024030446061,0.3185030158735905
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|NatGas,share,0.2370099575108089,0.1142170763341043
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Oil,share,0.112099773103262,0.3583621292033919
image,SSP2-Base,Business As Usual,RER,Share|Diesel|H2,share,0.0449403267152208,0.3353990333386895
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Methanol,share,0.0801720913051537,0.146839251393571
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Biomass,share,0.2832532058244022,0.0457705916674387
image,SSP2-Base,Business As Usual,RER,Share|Diesel|NatGas,share,0.1537651627834937,0.1294612607558156
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Oil,share,0.4378692133717294,0.342529862844485
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|H2,share,0.4588753271331844,0.3358142410184617
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Methanol,share,0.1566127500526736,0.3444670616329793
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|NatGas,share,0.019534909940215,0.1618184578711726
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Oil,share,0.3649770128739268,0.1579002394773864
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Biowaste,share,0.4067015550961635,0.1947251489425288
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Sewage,share,0.2895269327326917,0.569692270228204
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Manure,share,0.097635218485416,0.0431757880779104
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Grass,share,0.2061362936857286,0.1924067927513567
image,SSP2-Base,Business As Usual,RER,Share|CO2|DAC|Solvent,share,0.4557961145087363,0.0552447403780832
image,SSP2-Base,Business As Usual,RER,Share|CO2|DAC|Sorbent,share,0.1530331650948312,0.0293474354337694
image,SSP2-Base,Business As Usual,RER,Share|CO2|Cement|Direct,share,0.0145866283353706,0.4917375068778468
image,SSP2-Base,Business As Usual,RER,Share|CO2|Cement|Oxyfuel,share,0.1709370707356674,0.2041248461273727
image,SSP2-Base,Business As Usual,RER,Share|CO2|Cement|Monoethanolamine,share,0.2056470213253945,0.2195454711829278
