model,pathway,scenario,region,variables,unit,2020
image,SSP2-Base,Business As Usual,Europe without Switzerland,Share|Biomass|Residues,share,0.15
image,SSP2-Base,Business As Usual,Europe without Switzerland,Share|Biomass|Wood,share,0.85
image,SSP2-Base,Business As Usual,RER,Share|H2|WoodCCS,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|WoodNoCCS,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|SteamReforming,share,0.98
image,SSP2-Base,Business As Usual,RER,Share|H2|AutothermalReforming,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|CoalCCS,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|CoalNoCCS,share,0.01
image,SSP2-Base,Business As Usual,RER,Share|H2|Electrolysis,share,0.01
image,SSP2-Base,Business As Usual,RER,Share|Methanol|H2,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Methanol|Biomass,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Methanol|NatGas,share,1.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|H2,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Methanol,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Biomass,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|NatGas,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Oil,share,1.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|H2,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Methanol,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Biomass,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|NatGas,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Oil,share,1.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|H2,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Methanol,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|NatGas,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Oil,share,1.0
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Biowaste,share,0.11
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Sewage,share,0.05
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Manure,share,0.84
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Grass,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|DACSolvent,share,1.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|DACSorbent,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementDirect,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementOxyfuel,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementMonoethanolamine,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|H2,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|NatGas,share,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|Oil,share,1.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Coal,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CombinedCycle,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|GasTurbine,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CogenerationGas,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Nuclear,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Oil,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Geothermal,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroRunofRiver,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroReservoir,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biomass,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biogas,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOnshore,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOffshore,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarThermal,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarPVOpen,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Hydrogen,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|BatteryHydro,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsES,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBG,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSE,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAT,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMK,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMD,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHR,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsXK,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLU,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGR,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIS,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBA,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsEE,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSK,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsME,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLT,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSI,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIE,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBE,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRS,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRO,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNL,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsUA,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPL,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFR,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGB,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNO,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCZ,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMT,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDK,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIT,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLV,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDE,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPT,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFI,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBY,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGI,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAL,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHU,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCH,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|TransformationHVMV,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|SolarPVRoofCommercial,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|Waste,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|TransformationMVLV,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|BatteryChemical,share,
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|SolarPVRoofResidential,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Coal,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CombinedCycle,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|GasTurbine,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CogenerationGas,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Nuclear,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Oil,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Geothermal,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroRunofRiver,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroReservoir,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Biomass,share,
