model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,Europe without Switzerland,Share|Biomass|Residues,share,0.15,0.15
image,SSP2-Base,Business As Usual,Europe without Switzerland,Share|Biomass|Wood,share,0.85,0.85
image,SSP2-Base,Business As Usual,RER,Share|H2|WoodCCS,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|WoodNoCCS,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|SteamReforming,share,0.98,0.40
image,SSP2-Base,Business As Usual,RER,Share|H2|AutothermalReforming,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|CoalCCS,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|H2|CoalNoCCS,share,0.01,0.01
image,SSP2-Base,Business As Usual,RER,Share|H2|Electrolysis,share,0.01,0.60
image,SSP2-Base,Business As Usual,RER,Share|Methanol|H2,share,0.0,0.3
image,SSP2-Base,Business As Usual,RER,Share|Methanol|Biomass,share,0.0,0.2
image,SSP2-Base,Business As Usual,RER,Share|Methanol|NatGas,share,1.0,0.5
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|H2,share,0.0,0.3
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Methanol,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Biomass,share,0.0,0.2
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Kerosene|Oil,share,1.0,0.5
image,SSP2-Base,Business As Usual,RER,Share|Diesel|H2,share,0.0,0.3
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Methanol,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Biomass,share,0.0,0.2
image,SSP2-Base,Business As Usual,RER,Share|Diesel|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|Diesel|Oil,share,1.0,0.5
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|H2,share,0.0,0.5
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Methanol,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LiquefiedPetroleumGas|Oil,share,1.0,0.5
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Biowaste,share,0.11,0.11
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Sewage,share,0.05,0.05
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Manure,share,0.84,0.84
image,SSP2-Base,Business As Usual,CH,Share|Biogas|Grass,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|DACSolvent,share,1.0,1.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|DACSorbent,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementDirect,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementOxyfuel,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|CO2|CementMonoethanolamine,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|H2,share,0.0,0.5
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|NatGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|Oil,share,1.0,0.5
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Coal,share,0.05119057165640624,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CombinedCycle,share,0.2144793482155571,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|GasTurbine,share,0.006867931064808392,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CogenerationGas,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Nuclear,share,0.23327163668194925,0.252724243347116
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Oil,share,0.03812707805856656,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Geothermal,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroRunofRiver,share,0.0659975652066257,0.07150112618422365
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroReservoir,share,0.03399810316458061,0.0368332173586138
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biomass,share,0.010486786970839396,0.011361283952241678
